name,title,xpath,grid_name,parent_grid_name,type,widget,container,format,ignore_empty,ignore_autocalc_check,export_result,force_def_val,disabled,readonly,required,weight,allow_cyrillic,default_value,options,attributes,class,rows,minlength,maxlength,decimal_length,pattern,exclude_from_xml,extensions,max_size,tag
CAPITOL8_R825_C2,Capitol 8 Rind.825 nu,dec/DataSet/Data/CAPITOL8_R825_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R826_C1,Capitol 8 Rind.826 da,dec/DataSet/Data/CAPITOL8_R826_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R826_C2,Capitol 8 Rind.826 nu,dec/DataSet/Data/CAPITOL8_R826_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R827_C1,Capitol 8 Rind.827 da,dec/DataSet/Data/CAPITOL8_R827_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R827_C2,Capitol 8 Rind.827 nu,dec/DataSet/Data/CAPITOL8_R827_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R828_C1,Capitol 8 Rind.828 da,dec/DataSet/Data/CAPITOL8_R828_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R828_C2,Capitol 8 Rind.828 nu,dec/DataSet/Data/CAPITOL8_R828_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R831_C1,Capitol 8 Rind.831 da,dec/DataSet/Data/CAPITOL8_R831_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R831_C2,Capitol 8 Rind.831 nu,dec/DataSet/Data/CAPITOL8_R831_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R832_C1,Capitol 8 Rind.832 da,dec/DataSet/Data/CAPITOL8_R832_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R832_C2,Capitol 8 Rind.832 nu,dec/DataSet/Data/CAPITOL8_R832_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R833_C1,Capitol 8 Rind.833 da,dec/DataSet/Data/CAPITOL8_R833_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R833_C2,Capitol 8 Rind.833 nu,dec/DataSet/Data/CAPITOL8_R833_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R834_C1,Capitol 8 Rind.834 da,dec/DataSet/Data/CAPITOL8_R834_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R834_C2,Capitol 8 Rind.834 nu,dec/DataSet/Data/CAPITOL8_R834_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R835_C1,Capitol 8 Rind.835 da,dec/DataSet/Data/CAPITOL8_R835_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R835_C2,Capitol 8 Rind.835 nu,dec/DataSet/Data/CAPITOL8_R835_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R836_C1,Capitol 8 Rind.836 da,dec/DataSet/Data/CAPITOL8_R836_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R836_C2,Capitol 8 Rind.836 nu,dec/DataSet/Data/CAPITOL8_R836_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R837_C1,Capitol 8 Rind.837 da,dec/DataSet/Data/CAPITOL8_R837_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R837_C2,Capitol 8 Rind.837 nu,dec/DataSet/Data/CAPITOL8_R837_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL9_R910_C1,Capitol 9 Rind.910 da,dec/DataSet/Data/CAPITOL9_R910_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL9_R910_C2,Capitol 9 Rind.910 nu,dec/DataSet/Data/CAPITOL9_R910_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL9_R921_C1,Capitol 9 Rind.921 da,dec/DataSet/Data/CAPITOL9_R921_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL9_R921_C2,Capitol 9 Rind.921 nu,dec/DataSet/Data/CAPITOL9_R921_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL9_R922_C1,Capitol 9 Rind.922 da,dec/DataSet/Data/CAPITOL9_R922_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL9_R922_C2,Capitol 9 Rind.922 nu,dec/DataSet/Data/CAPITOL9_R922_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL9_R923_C1,Capitol 9 Rind.923 da,dec/DataSet/Data/CAPITOL9_R923_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL9_R923_C2,Capitol 9 Rind.923 nu,dec/DataSet/Data/CAPITOL9_R923_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL10_R930_C1,Capitol 10 Rind.930 da,dec/DataSet/Data/CAPITOL10_R930_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL10_R930_C2,Capitol 10 Rind.930 nu,dec/DataSet/Data/CAPITOL10_R930_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL10_R940_C1,Capitol 10 Rind.940 da,dec/DataSet/Data/CAPITOL10_R940_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL10_R940_C2,Capitol 10 Rind.940 nu,dec/DataSet/Data/CAPITOL10_R940_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL10_R999_C1,Capitol 10 Rînd. 999 col.1,dec/DataSet/Data/CAPITOL10_R999_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,14,0,,,,table number,0,0,20,0,,0,,,
